espn_id,name,team,position,points
17742,Malcolm Brown,LAR,RB,11.6
18188,ArDarius Stewart,NYJ,WR,11.6
18031,Erik Swoope,IND,TE,11.5
17893,Pharoh Cooper,LAR,WR,11.4
15653,Jamize Olawale,DAL,RB,11.2
17502,Michael Burton,CHI,RB,11.2
16783,Terrance West,BAL,RB,10.9
16945,De'Anthony Thomas,KC,WR,10.7
17145,Brandon Coleman,NO,WR,10.4
14135,Anthony Sherman,KC,RB,10.4
13387,Michael Hoomanawanui,NO,TE,10.4
16946,Bruce Ellington,HOU,WR,10.2
17580,Ameer Abdullah,DET,RB,10.1
17945,Jerell Adams,NYG,TE,9.9
18433,Cole Hikutini,SF,TE,9.9
13940,James Develin,NE,RB,9.8
16786,Richard Rodgers,PHI,TE,9.7
18716,Tyler Conklin,MIN,TE,9.7
18216,Josh Malone,CIN,WR,9.6
16323,MarQueis Gray,MIA,TE,9.6
18529,Marvin Hall,ATL,WR,9.6
14007,Lance Kendricks,GB,TE,9.4
18346,Eric Saubert,ATL,TE,9.3
15403,Derek Carrier,OAK,TE,9.2
18547,Jaydon Mickens,JAX,WR,9.2
18750,Dylan Cantrell,LAC,WR,9.1
17564,C.J. Uzomah,CIN,TE,9.1
18046,Andy Jones,DET,WR,9.1
18769,Jordan Thomas,HOU,TE,9.0
14918,Jarius Wright,CAR,WR,9.0
18816,Josh Adams,PHI,RB,8.9
17928,Trevor Davis,GB,WR,8.9
18124,Mack Brown,MIN,RB,8.7
18786,Marcell Ateman,OAK,WR,8.7
18153,Eric Tomlinson,NYJ,TE,8.6
18814,Trey Quinn,WSH,WR,8.6
17643,Phillip Dorsett,NE,WR,8.6
18525,Travis Rudolph,NYG,WR,8.6
17441,James O'Shaughnessy,JAX,TE,8.5
17148,Michael Campanaro,TEN,WR,8.4
18721,Jordan Lasley,BAL,WR,8.4
17191,Jay Prosch,HOU,RB,8.3
18746,Ray-Ray McCloud,BUF,WR,8.0
12570,Darrius Heyward-Bey,PIT,WR,8.0
18734,Damion Ratley,CLE,WR,8.0
17957,Derek Watt,LAC,RB,8.0
