Rank,Player,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
92,"Helu, Roy",FA,RB,29.3,122.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.1,0.0,19.0,132.6,0.8,0.5,0.3,0.0,302.6,0.0,28.4,30.6
93,"Robinson, Khiry",NYJ,RB,43.5,143.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,11.3,76.5,0.0,0.3,0.2,0.0,24.6,0.0,18.9,29.3
94,"Marshall, Keith",WAS,RB,53.4,178.9,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.7,0.4,0.1,0.0,8.7,69.4,0.4,0.3,0.1,0.0,29.1,0.4,18.2,29.0
95,"Bush, Reggie",BUF,RB,35.8,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,12.6,74.9,0.0,0.3,0.1,19.0,42.8,0.0,11.5,29.0
96,"Robinson, Denard",JAC,RB,51.5,173.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.1,0.0,16.2,123.3,0.0,0.5,0.2,0.0,52.0,1.3,16.7,28.1
97,"Olawale, Jamize",OAK,RB,14.9,82.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,8.0,59.6,1.1,0.2,0.1,0.0,0.0,0.0,11.2,26.8
98,"Whittaker, Fozzy",CAR,RB,38.1,151.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,9.9,70.9,0.3,0.3,0.1,0.0,225.1,0.0,8.1,26.8
99,"Kuhn, John",NOR,RB,14.0,37.6,2.6,2.6,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,8.6,63.9,0.0,0.3,0.1,0.0,8.2,0.0,6.2,26.0
100,"Line, Zach",MIN,RB,5.5,8.1,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,101.2,0.2,0.4,0.2,0.0,45.7,0.0,4.4,25.0
101,"Toussaint, Fitzgerald",PIT,RB,58.5,161.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,8.0,90.8,0.0,0.4,0.2,0.0,67.8,0.3,9.9,24.6
102,"Redd, Silas",WAS,RB,36.3,126.5,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.3,0.1,0.0,8.2,105.4,0.0,0.4,0.2,0.0,15.0,0.3,13.1,24.1
103,"Burkhead, Rex",CIN,RB,10.0,32.1,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,13.5,105.9,0.9,0.4,0.2,0.0,0.0,0.0,10.3,22.6
104,"Smith, Rod",DAL,RB,-261.3,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,-2.4,-1.2,0.0,-13207.6,0.0,-604.7,22.0
105,"Gray, Jonas",JAC,RB,41.2,149.2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,4.4,39.9,0.0,0.2,0.1,0.0,19.4,0.0,18.6,22.0
106,"Rodgers, Jacquizz",CHI,RB,43.2,139.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,9.4,72.6,0.0,0.3,0.1,0.0,22.7,0.0,19.0,21.2
107,"Williams, Damien",MIA,RB,17.3,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,17.2,121.8,0.2,0.5,0.2,0.0,411.4,0.9,14.0,19.8
108,"Dunbar, Lance",DAL,RB,10.6,63.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,12.1,121.7,0.0,0.5,0.2,0.7,136.5,0.0,9.0,18.5
109,"Ward, Terron",ATL,RB,25.3,75.2,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,11.5,75.5,0.2,0.3,0.2,0.0,8.1,0.0,19.1,17.8
110,"Cobb, David",TEN,RB,56.0,135.6,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,15.9
111,"Jones, Taiwan",OAK,RB,16.0,63.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,10.5,105.3,0.1,0.4,0.2,0.0,740.4,1.2,13.0,15.2
112,"Richard, Jalen",OAK,RB,16.8,70.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,11.2,61.9,0.0,0.2,0.1,0.0,251.0,0.0,14.1,13.2
113,"Darkwa, Orleans",NYG,RB,22.5,88.3,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,2.7,28.3,0.0,0.1,0.1,0.0,0.0,0.0,9.5,12.9
114,"Taylor, Stepfan",ARZ,RB,30.8,102.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,2.5,23.1,0.1,0.1,0.0,0.0,24.4,0.2,14.5,12.8
115,"Crockett, John",GBP,RB,32.6,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,6.8,47.8,0.0,0.2,0.1,0.0,0.0,0.0,7.1,11.9
